ONS_ID,D_phy_man_countPB,D_phy_man_count,D_phy_ave_drive_time5,D_phy_ave_walk_dis5,D_phy_covPop
0,0.860550469,789,2.965044301,2.078045145,0.614496443
3,0.688705234,5,1.831611331,1.08404487,0.863915835
5,NA,0,NA,NA,NA
6,1.310043668,6,1.711459602,0.991913114,0.887941535
7,0,0,2.776875288,1.74871445,0.073861022
11,0.295420975,1,1.866915897,1.21671233,0.975516786
12,0.579150579,0,2.080114002,1.215350669,0.737732342
13,0.247524752,6,1.989509973,1.291695484,0.531311475
16,2.192638998,14,1.28852133,0.723083049,0.913077161
17,NA,10,1.836666667,0.6738,1
18,0.712830957,6,1.673054926,1.020016369,0.754462085
23,1.43472023,10,1.858459627,1.010588544,0.948240166
24,1.322136859,36,1.023367365,0.451052058,1
28,2.838827839,31,2.011113166,1.070717358,0.843769265
29,0,0,18.0601138,19.82454088,0
30,0,0,11.15549217,11.41463736,0
31,1.503759398,12,1.888746881,0.996859926,0.810523964
32,0,0,4.065297829,2.934757648,0
35,0.169491525,1,9.66477576,10.09557715,0.031387762
38,1.426024955,3,1.472919028,0.705834984,1
45,0,0,2.267105536,1.360581953,0.799397122
46,1.054216867,7,2.05808697,1.055028734,0.755992624
47,1.022494888,10,1.098345168,0.588132433,1
48,0,0,3.578675629,2.126448544,0.230395818
49,0.095192765,1,2.606379897,1.649493074,0.909947028
50,0.113378685,1,4.057300616,2.877677558,0.642541005
51,6.060606061,5,2.712461874,2.292996732,0.052287582
52,1.434548715,11,1.892544634,0.949963803,0.82784723
54,0.679694138,4,1.914911913,0.951665582,0.958910732
55,0.520833333,2,1.683117721,0.947123311,0.985665651
60,0,0,1.926053763,0.755621613,1
64,2.852441031,26,4.165701255,3.381791502,0.196736636
65,1.346801347,2,3.167011873,2.032661082,0.251319261
66,0,0,11.99401831,12.48872735,0
67,0,0,10.4344668,11.22001184,0
70,0,0,9.788778586,9.827129271,0
71,NA,0,1.156666667,0.6002,1
75,0.298359025,3,3.732070883,2.686462534,0.232828871
76,0,0,2.949614559,1.95763554,0.189885057
77,76.47058824,12,0.15,0.154,1
81,0.932835821,5,6.185590921,5.044586034,0.32966821
82,0.544217687,4,1.734537879,0.842550668,0.914304813
83,0,0,2.007603445,0.994328292,0.993383743
85,0,0,11.91983968,10.91145296,0
86,0,0,3.67984461,2.424943995,0.331660732
87,0,0,3.750178941,2.272463848,0.022143936
88,0.23364486,1,2.048826015,1.161426799,0.988229968
90,1.122334456,5,2.112309916,1.175614137,0.750867303
93,1.261523532,8,2.290498109,1.31110095,0.651231436
97,7.328605201,31,1.723975123,1.09334533,0.830867741
99,1.481481481,7,2.118952441,1.05265648,0.722667792
100,0.204498978,0,3.064196269,1.981926604,0.789419882
106,0,0,2.372309905,1.277588897,0.764832794
108,0.973828363,1,2.408747212,1.415619646,0.774259082
901,0.434310532,4,2.040397988,1.130659432,0.990013316
902,0.917431193,6,2.155525197,1.036073376,0.802216151
903,1.818900751,22,1.736642602,0.876557771,0.863918646
904,0.370141888,3,3.177189094,2.151646872,0.877678462
905,0,0,2.741248329,1.630044373,0.205159048
906,1.254901961,8,2.092072377,0.771907858,0.930647394
907,1.203674374,19,1.746718704,1.029412765,0.850094044
908,2.93255132,15,1.183683508,0.446010939,1
909,0.264900662,3,3.215661394,2.143169842,0.36998088
910,0.110192837,1,2.006840895,1.02471678,0.956029745
911,1.953418482,13,6.369206838,5.559038125,0.26974359
912,1.521252796,14,2.079605144,1.018484244,0.946076282
913,0.848656294,3,2.408075972,1.587155374,0.265746738
914,0.332778702,4,2.206640066,1.34374037,0.701686549
915,1.487994589,20,2.714768882,1.668762264,0.229536387
916,0,0,8.665867228,8.07628878,0
917,7.932011331,7,2.561309296,1.567858618,0.620868615
918,0,0,10.74409879,11.56438993,0
919,0.257842716,3,2.519250729,1.341606267,0.672112123
920,0.212765957,4,3.14982295,1.608803319,0.467722879
921,0,0,5.490665693,4.770229213,0
922,0,0,17.48115013,18.08160094,0
923,0.394477318,5,1.84726082,0.818602451,1
924,3.336339044,37,2.130768276,1.097966043,0.584404076
925,0.101626016,1,8.673637217,8.299307817,0.131157971
926,0,0,4.038883471,3.219547148,0.054119941
927,3.476821192,15,2.075075962,1.16633788,0.592167454
928,0,0,4.01867764,2.513718027,0.132936866
929,1.495162709,17,1.864395857,0.843429474,0.931307566
930,0,0,14.86524126,14.48782813,0
931,1.962809917,18,1.457323128,0.89065873,0.955213074
932,0.889877642,7,2.090190696,1.348335486,0.496949859
933,0,0,2.727826751,1.444842702,0.776950964
934,2.900886382,4,1.253945217,0.520499266,1
935,2.573266619,18,1.889130167,1.081475512,0.517918089
